Model,Data Fraction,Dice Score,Dice Std,IoU,IoU Std,Pixel Accuracy,Accuracy Std,Epoch,Experiment,Checkpoint
unet,100pct,0.8588625481568932,0.17167107470402324,0.7817917520862728,0.1973158394365133,0.9484263884715545,0.08234569806012003,20,unet_100pct_20251206_181019,/content/Medical-Image-Segmentation/experiments/unet_100pct_20251206_181019/best_model.pt
unet,10pct,0.7548401895455031,0.2271443324341851,0.6496685525949919,0.2424889762460246,0.9191653520633013,0.09695063975452121,16,unet_10pct_20251206_175301,/content/Medical-Image-Segmentation/experiments/unet_10pct_20251206_175301/best_model.pt
unet,25pct,0.8019011154962786,0.21936995083341876,0.7115942439916005,0.23500897049646474,0.9352677956605568,0.0910569826066225,19,unet_25pct_20251206_175631,/content/Medical-Image-Segmentation/experiments/unet_25pct_20251206_175631/best_model.pt
unet,50pct,0.8377191517490123,0.20199875949683305,0.7582846463526569,0.2197119793708407,0.9443099975585938,0.08739424708815215,19,unet_50pct_20251206_180151,/content/Medical-Image-Segmentation/experiments/unet_50pct_20251206_180151/best_model.pt
unetpp,100pct,0.8607553171944109,0.1674092135925229,0.7830887160363412,0.19062610358889373,0.9492943396935096,0.07589244738528692,18,unetpp_100pct_20251206_183240,/content/Medical-Image-Segmentation/experiments/unetpp_100pct_20251206_183240/best_model.pt
unetpp,10pct,0.7288076135475196,0.21500348646993045,0.6118667103256655,0.23195512637762916,0.9041301629482171,0.10162817993630029,14,unetpp_10pct_20251206_180612,/content/Medical-Image-Segmentation/experiments/unetpp_10pct_20251206_180612/best_model.pt
unetpp,25pct,0.8037968621607806,0.21234650932135468,0.7119311113382794,0.2290790977463434,0.9343355227739383,0.08662504676064685,17,unetpp_25pct_20251206_181110,/content/Medical-Image-Segmentation/experiments/unetpp_25pct_20251206_181110/best_model.pt
unetpp,50pct,0.8414580332163295,0.19688621160134884,0.7623843553953878,0.2161183001648921,0.9451374934269832,0.0872368062594522,20,unetpp_50pct_20251206_181916,/content/Medical-Image-Segmentation/experiments/unetpp_50pct_20251206_181916/best_model.pt
